S&P/ASX 200 Index (1 March 2019),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
SHL,Sonic Healthcare,Health Care,"11,427,400,000",0.64,,,
SIG,Sigma Health Limited,Health Care,"651,556,000",0.04,,,
SIQ,Smartgrp Corporation,Industrials,"1,108,170,000",0.06,,,
SKC,Skycity Ent Group Limited Foreign Exempt NZX,Consumer Discretionary,"2,349,900,000",0.13,,,
SKI,Spark Infrastructure Stapled $0.65 Loan Note and Unit US Prohib,Utilities,"3,919,090,000",0.22,,,
SOL,Soul Pattinson (W.H),Energy,"7,045,400,000",0.4,,,
SPK,Spark New Zealand Foreign Exempt NZX,Telecommunication Services,"6,536,840,000",0.37,,,
STO,Santos Limited,Energy,"14,413,700,000",0.81,,,
SUL,Super Ret Rep Limited,Consumer Discretionary,"1,462,610,000",0.08,,,
SUN,Suncorp Group Limited,Financials,"17,594,700,000",0.99,,,
SVW,Seven Group Holdings,Industrials,"6,566,570,000",0.37,,,
SWM,Seven West Media Limited,Consumer Discretionary,"821,879,000",0.05,,,
SXL,STHN Cross Media,Consumer Discretionary,"938,197,000",0.05,,,
SYD,SYD Airport FP Ordinary/Units Stapled Securities,Industrials,"16,251,000,000",0.91,,,
SYR,Syrah Resources,Materials,"470,771,000",0.03,,,
TAH,Tabcorp Holdings Limited,Consumer Discretionary,"9,513,740,000",0.54,,,
TCL,Transurban Group FP Ordinary/Units Stapled Securities,Industrials,"33,360,800,000",1.88,,,
TGR,Tassal Group Limited,Consumer Staples,"870,366,000",0.05,,,
TLS,Telstra Corporation,Telecommunication Services,"37,226,000,000",2.1,,,
TME,Trade Me Group Foreign Exempt NZX,Consumer Discretionary,"2,429,470,000",0.14,,,
TNE,Technology One,Information Technology,"2,340,340,000",0.13,,,
TPM,TPG Telecom Limited,Telecommunication Services,"6,179,220,000",0.35,,,
TWE,Treasury Wine Estate,Consumer Staples,"10,765,600,000",0.61,,,
URW,Unibailrodawestfield Chess Depositary Interests 20:1,Real Estate,"4,184,050,000",0.24,,,
VCX,Vicinity Centres FP Ordinary/Units Stapled Securities,Real Estate,"9,424,880,000",0.53,,,
VEA,Viva Energy Group,Energy,"4,686,330,000",0.26,,,
VOC,Vocus Group Limited,Telecommunication Services,"2,302,380,000",0.13,,,
VVR,Viva Energy REIT FP Ordinary/Units Stapled Securities,Real Estate,"1,756,310,000",0.1,,,
WBC,Westpac Banking Corp,Financials,"92,946,500,000",5.23,,,
WEB,Webjet Limited,Consumer Discretionary,"2,122,160,000",0.12,,,
WES,Wesfarmers Limited,Consumer Discretionary,"37,620,800,000",2.12,,,
WHC,Whitehaven Coal,Energy,"4,514,600,000",0.25,,,
WOR,Worleyparsons Limited,Energy,"6,870,040,000",0.39,,,
WOW,Woolworths Group Limited,Consumer Staples,"37,770,300,000",2.13,,,
WPL,Woodside Petroleum,Energy,"33,935,500,000",1.91,,,
WSA,Western Areas Limited,Materials,"629,156,000",0.04,,,
WTC,Wisetech Global Limited,Information Technology,"5,798,960,000",0.33,,,
XRO,Xero Limited,Information Technology,"6,685,840,000",0.38,,,
